model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,param_colsample_bytree,param_learning_rate,param_reg_lambda,param_scale_pos_weight,param_subsample,param_mlp__alpha,param_mlp__batch_size,param_mlp__hidden_layer_sizes,param_mlp__learning_rate_init
XGBoost,3.793947617212931,1.6167467674307003,0.16665331522623697,0.0633668086430398,,4.0,,,200.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 0.5, 'scale_pos_weight': 1.0, 'subsample': 0.9}",0.016223231667748216,0.011772400261608895,0.01498371335504886,0.014326448428135324,0.0018755395560712696,29,0.02852512155591572,0.02279016767051929,0.02375915378356387,0.025024814336666295,0.00250650440436684,0.9,0.05,0.5,1.0,0.9,,,,
XGBoost,2.5503644943237305,0.6462818566788077,0.12636987368265787,0.005829628542800723,,4.0,,,200.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 0.5, 'scale_pos_weight': 7.960158485582214, 'subsample': 0.9}",0.27161255494717357,0.2733867311470455,0.27553989891254405,0.27351306166892103,0.0016058180067390346,2,0.30382005041690907,0.29985178428913467,0.2998903301440835,0.3011873882833757,0.0018616397570848844,0.9,0.05,0.5,7.960158485582214,0.9,,,,
XGBoost,2.9035672346750894,0.03720265955388393,0.12644219398498535,0.0014495249759869859,,4.0,,,200.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 1.0, 'scale_pos_weight': 1.0, 'subsample': 0.9}",0.01752109020116807,0.00851063829787234,0.014988595633756924,0.013673441377599111,0.003794231051962872,30,0.0275348234531908,0.0195726635132931,0.02503250975292588,0.024046665573136592,0.0033244462483493645,0.9,0.05,1.0,1.0,0.9,,,,
XGBoost,3.0515689055124917,0.020440847653218196,0.12479050954182942,0.007139902964356445,,4.0,,,200.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 1.0, 'scale_pos_weight': 7.960158485582214, 'subsample': 0.9}",0.27219391693685346,0.27295435621830294,0.27549996139294264,0.273549411516033,0.0014137540078167682,1,0.3047220283786927,0.3003835491588501,0.30084519911672886,0.3019835922180906,0.0019455170050096291,0.9,0.05,1.0,7.960158485582214,0.9,,,,
XGBoost,2.4655612309773765,0.17765038141385783,0.11560924847920735,0.008116855936345651,,6.0,,,120.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 120, 'reg_lambda': 0.5, 'scale_pos_weight': 1.0, 'subsample': 0.9}",0.018164125851443398,0.011753183153770812,0.018158236057068743,0.016025181687427652,0.003020760089347721,26,0.04571060679220988,0.039101631927613505,0.04946996466431095,0.044760734461378106,0.004285811787621868,0.9,0.05,0.5,1.0,0.9,,,,
XGBoost,3.3772626717885337,0.6567154435937517,0.20123910903930664,0.057661025176373046,,6.0,,,120.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 120, 'reg_lambda': 0.5, 'scale_pos_weight': 7.960158485582214, 'subsample': 0.9}",0.27058350100603623,0.27176321620766064,0.2740037334631929,0.27211681689229655,0.0014185139168341506,7,0.33426454512328435,0.33290683726509396,0.3325480174100547,0.333239799932811,0.0007392631246231174,0.9,0.05,0.5,7.960158485582214,0.9,,,,
XGBoost,2.4421400229136148,0.039873903406371036,0.11358968416849773,0.0029500246818618364,,6.0,,,120.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 120, 'reg_lambda': 1.0, 'scale_pos_weight': 1.0, 'subsample': 0.9}",0.016894087069525665,0.013063357282821686,0.016254876462938883,0.015404106938428745,0.0016756052165434999,27,0.04096774193548387,0.038492641112728446,0.039107950872656755,0.039522777973623024,0.0010521698733167908,0.9,0.05,1.0,1.0,0.9,,,,
XGBoost,2.5718241532643638,0.049475158716050856,0.11930354436238606,0.006986542393566755,,6.0,,,120.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 120, 'reg_lambda': 1.0, 'scale_pos_weight': 7.960158485582214, 'subsample': 0.9}",0.26925869161894006,0.2747513027001421,0.27306451612903226,0.27235817014937147,0.0022973009677406293,6,0.33252309188138063,0.33151849938401623,0.3313142583884594,0.3317852832179521,0.0005283305871258816,0.9,0.05,1.0,7.960158485582214,0.9,,,,
XGBoost,3.4849327405293784,0.06461631888478005,0.1542628606160482,0.0005789068004057102,,6.0,,,200.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200, 'reg_lambda': 0.5, 'scale_pos_weight': 1.0, 'subsample': 0.9}",0.02194964493221433,0.028985507246376812,0.02129032258064516,0.024075158253078766,0.0034825586300694694,22,0.0726868750991906,0.06626314112774769,0.0674836861371956,0.06881123412137796,0.002785423638838135,0.9,0.05,0.5,1.0,0.9,,,,
XGBoost,3.5379008452097573,0.10548947876448879,0.17103187243143717,0.0031832220157870387,,6.0,,,200.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200, 'reg_lambda': 0.5, 'scale_pos_weight': 7.960158485582214, 'subsample': 0.9}",0.2711070203330265,0.2727423363711682,0.27570332480818416,0.27318422717079294,0.0019022713294345934,3,0.3631233153638814,0.36256337794032084,0.3650529122573119,0.3635798685205047,0.0010663882555886348,0.9,0.05,0.5,7.960158485582214,0.9,,,,
XGBoost,5.25503675142924,1.2891188970173884,0.2095616658528646,0.04519694713285458,,6.0,,,200.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200, 'reg_lambda': 1.0, 'scale_pos_weight': 1.0, 'subsample': 0.9}",0.023195876288659795,0.026477236034872457,0.023248304811107522,0.024307139044879925,0.0015346395661462878,21,0.06682577565632458,0.0610223642172524,0.05824,0.06202937995785899,0.0035767253581598943,0.9,0.05,1.0,1.0,0.9,,,,
XGBoost,3.5555322964986167,0.1567081184846782,0.20629572868347168,0.07209794479710208,,6.0,,,200.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200, 'reg_lambda': 1.0, 'scale_pos_weight': 7.960158485582214, 'subsample': 0.9}",0.2702702702702703,0.27454545454545454,0.27144664698439475,0.2720874572667065,0.001803196885189015,8,0.3631404473165205,0.3620833333333333,0.36200940608482124,0.3624110622448917,0.0005166354269401059,0.9,0.05,1.0,7.960158485582214,0.9,,,,
XGBoost,2.399604558944702,0.6543536109004242,0.12366310755411784,0.048015857481152446,,4.0,,,120.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 120, 'reg_lambda': 0.5, 'scale_pos_weight': 1.0, 'subsample': 0.9}",0.018134715025906734,0.0136986301369863,0.01946787800129786,0.017100407721396964,0.002466225041108721,25,0.03488372093023256,0.03017521090201168,0.031427182893244775,0.03216203824182967,0.0019912351207181287,0.9,0.1,0.5,1.0,0.9,,,,
XGBoost,2.555636405944824,0.8786889230695202,0.1302934487660726,0.05354853718184115,,4.0,,,120.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 120, 'reg_lambda': 0.5, 'scale_pos_weight': 7.960158485582214, 'subsample': 0.9}",0.270420362514462,0.27063701470033924,0.2733957736666925,0.2714843836271646,0.0013544478468650936,9,0.30774601450680733,0.30462568472306756,0.3045553476650502,0.30564234896497505,0.0014877933009106836,0.9,0.1,0.5,7.960158485582214,0.9,,,,
XGBoost,1.897948424021403,0.018948669182152936,0.09312152862548828,0.0044067814316300705,,4.0,,,120.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 120, 'reg_lambda': 1.0, 'scale_pos_weight': 1.0, 'subsample': 0.9}",0.01557935735150925,0.011753183153770812,0.01818772328678142,0.015173421264020494,0.0026425259079367355,28,0.028807250364136592,0.02695242734210099,0.026328620185275476,0.027362765963837687,0.0010526744445322274,0.9,0.1,1.0,1.0,0.9,,,,
XGBoost,1.9282445112864177,0.0096049356740159,0.09740400314331055,0.002214088893931149,,4.0,,,120.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 120, 'reg_lambda': 1.0, 'scale_pos_weight': 7.960158485582214, 'subsample': 0.9}",0.27231935633606685,0.2731625750551038,0.2734857849196539,0.27298923877027487,0.0004917133384950708,4,0.30985696517412936,0.30575388492230154,0.30442248254283205,0.30667777754642095,0.002312802564443517,0.9,0.1,1.0,7.960158485582214,0.9,,,,
XGBoost,2.827120304107666,0.017898735545216565,0.14645282427469888,0.03713916458607232,,4.0,,,200.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 0.5, 'scale_pos_weight': 1.0, 'subsample': 0.9}",0.020638503708481134,0.02711426726920594,0.023225806451612905,0.023659525809766657,0.0026614485760992116,23,0.0483974358974359,0.04185447520927238,0.04725168756027001,0.04583453288899276,0.002852931727592455,0.9,0.1,0.5,1.0,0.9,,,,
XGBoost,2.8014535903930664,0.024098387131020024,0.12346792221069336,0.0034938555900931897,,4.0,,,200.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 0.5, 'scale_pos_weight': 7.960158485582214, 'subsample': 0.9}",0.2713528061426423,0.2719626168224299,0.27537158382611476,0.27289566893039563,0.0017683482301154377,5,0.32593476531424026,0.3249577287562424,0.32548416360982924,0.3254588858934373,0.00039927378336639157,0.9,0.1,0.5,7.960158485582214,0.9,,,,
XGBoost,2.902092377344767,0.05667717662077872,0.1302945613861084,0.008320909003548723,,4.0,,,200.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 1.0, 'scale_pos_weight': 1.0, 'subsample': 0.9}",0.018093699515347336,0.021373056994818652,0.021985127707727127,0.02048396140596437,0.001708541594206819,24,0.04430176565008025,0.04152583293095123,0.04095453079651725,0.04226070979251625,0.0014619686025982152,0.9,0.1,1.0,1.0,0.9,,,,
XGBoost,2.805579582850138,0.02426263676772219,0.1190786361694336,0.00046395826680788367,,4.0,,,200.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 1.0, 'scale_pos_weight': 7.960158485582214, 'subsample': 0.9}",0.27060036481878025,0.2714263493544875,0.27219029374201786,0.2714056693050952,0.0006492504619785455,10,0.32867327836858246,0.3227708759238874,0.3246538703587162,0.325366008217062,0.0024616991288880833,0.9,0.1,1.0,7.960158485582214,0.9,,,,
