Modelo,accuracy_media,accuracy_desvio,precision_media,precision_desvio,recall_media,recall_desvio,f1_media,f1_desvio,roc_auc_media,roc_auc_desvio,pr_auc_media,pr_auc_desvio,threshold_media,threshold_desvio
Random Forest,0.7037339097966002,0.02629002581922695,0.1872393578796896,0.0066944466685784345,0.49414354909731395,0.05603714796820159,0.2709064175750242,0.01021960456049246,0.6641276721632889,0.008377514076210893,0.21227317113995334,0.006825799258936367,0.49155550690396776,0.011025024290629942
XGBoost,0.7175100717303724,0.012074557270048464,0.19609767721092405,0.004609396634700164,0.4936151475121092,0.02293336267723434,0.2805290105103192,0.004907113424872845,0.6754925505813218,0.006862168272780398,0.21977628019223333,0.0069597486847231506,0.5377255558967591,0.007719546060570862
Rede Neural,0.7541318659722904,0.022549849129291148,0.19234464543583502,0.011281462406167364,0.37278731836195506,0.031127954054364755,0.2529573204218233,0.006202144557069063,0.6455566731739182,0.005849250968725522,0.1996185061715055,0.003803209482500596,0.13210117090361478,0.003241533582718666
