Modelo,Melhor F1 CV com limiar 0.5,F1 OOF com limiar ajustado,Limiar escolhido,Acurácia teste,Precisão <30 teste,Revocação <30 teste,F1 <30 teste,ROC-AUC teste,PR-AUC teste,Melhores hiperparâmetros
Random Forest,0.26900156370894296,0.26982423185252136,0.4954636932083423,0.7170580721234155,0.19659011830201809,0.49757815940114486,0.28183065220102255,0.6729151671168999,0.2187067051353947,"{'class_weight': 'balanced', 'max_depth': 16, 'min_samples_leaf': 8, 'min_samples_split': 10, 'n_estimators': 200}"
XGBoost,0.273549411516033,0.28060495263378155,0.542879581451416,0.7297828436670925,0.20294388224471022,0.4856891237340379,0.2862704386192577,0.6827044374108108,0.22904492335203608,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 1.0, 'scale_pos_weight': 7.960158485582214, 'subsample': 0.9}"
Rede Neural,0.020722737058688653,0.2479325081863354,0.132459691893134,0.7569028200845043,0.197650779308787,0.3852928225451343,0.2612720214989549,0.6529071279595265,0.20389885902414975,"{'mlp__alpha': 0.01, 'mlp__batch_size': 64, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate_init': 0.01}"
