Modelo,TN_media,TN_desvio,FP_media,FP_desvio,FN_media,FN_desvio,TP_media,TP_desvio,TN_normalizado_media,TN_normalizado_desvio,FP_normalizado_media,FP_normalizado_desvio,FN_normalizado_media,FN_normalizado_desvio,TP_normalizado_media,TP_normalizado_desvio
Random Forest,13201.6,653.2191822045645,4881.4,653.2191822045645,1148.8,127.26036303578582,1122.2,127.26036303578582,0.7300558535641211,0.03612338562210721,0.26994414643587905,0.0361233856221072,0.505856450902686,0.056037147968201584,0.49414354909731395,0.05603714796820159
XGBoost,13483.2,291.9849311180288,4599.8,291.9849311180288,1150.0,52.08166663999915,1121.0,52.08166663999915,0.7456284908477576,0.016146929774817756,0.25437150915224244,0.01614692977481771,0.5063848524878909,0.02293336267723433,0.4936151475121092,0.02293336267723434
Rede Neural,14503.0,525.7418568080727,3580.0,525.7418568080727,1424.4,70.69158365746236,846.6,70.69158365746236,0.8020240004424044,0.029073818327051543,0.19797599955759554,0.029073818327051526,0.627212681638045,0.031127954054364786,0.37278731836195506,0.031127954054364755
