Modelo,Classe,precision_media,precision_desvio,recall_media,recall_desvio,f1_media,f1_desvio,support_media
Random Forest,Não readmitido <30,0.9201301803996011,0.0048589451911490176,0.7300558535641211,0.03612338562210721,0.8136703812635492,0.0213093206356093,18083.0
Random Forest,Readmitido <30,0.1872393578796896,0.0066944466685784345,0.49414354909731395,0.05603714796820159,0.2709064175750242,0.010219604560492476,2271.0
XGBoost,Não readmitido <30,0.921439415349879,0.001958222747199324,0.7456284908477576,0.016146929774817756,0.8241750448331777,0.009356408923534865,18083.0
XGBoost,Readmitido <30,0.19609767721092405,0.004609396634700164,0.4936151475121092,0.02293336267723434,0.2805290105103192,0.0049071134248728525,2271.0
Rede Neural,Não readmitido <30,0.9105978630861543,0.0015441864295508948,0.8020240004424044,0.029073818327051543,0.8526316060338333,0.016170711347629787,18083.0
Rede Neural,Readmitido <30,0.19234464543583502,0.011281462406167364,0.37278731836195506,0.031127954054364755,0.2529573204218233,0.006202144557069069,2271.0
